"ID","Description","Account type","DIMLIST","DRCRRECLASS","Offset account used in US Eliminations","EQUITYRCLS","EVDES_ENG","FA_01","FA_02","FA_03","FA_04","FA_05","FA_XX","INTERCO","MISC_CHECK","Rate type","RECLASS250","RECLASS253","RECLASS256","RECLASS258","RECLASS264","RECLASS265","RECLASS266","Scaling","Elimination Code","H1"
"27109013","Domestic Suppliers Esoft Reconciliation Account","LEQ","","","","","Domestic Suppliers Esoft Reconciliation Account","","","","","","","","","ENDDE","","","","","","","","","","L89_LIABILITIESTRADE"
"27109014","Foreign Suppliers Esoft Reconciliation Account","LEQ","","","","","Foreign Suppliers Esoft Reconciliation Account","","","","","","","","","ENDDE","","","","","","","","","","L89_LIABILITIESTRADE"
"19189000","Acc Depr & Depl Machinery & Equip- Reconciliation","AST","","","","","Acc Depr & Depl Machinery & Equip- Reconciliation","","","","","","","","","ENDDE","","","","","","","","","","L332_MACHAD"
"19189100","Acc. Depn. Customer Leased/Loaned Equipment","AST","","","","","Acc. Depn. Customer Leased/Loaned Equipment","","","","","","","","","ENDDE","","","","","","","","","","L332_MACHAD"
"19189599","ECCS Edit Corrections","AST","","","","","ECCS Edit Corrections","","","","","","","","","ENDDE","","","","","","","","","","L332_MACHAD"
"19224000","AD&D Auto Equip & Other Trans Manual Adj entries","AST","","","","","AD&D Auto Equip & Other Trans Manual Adj entries","","","","","","","","","ENDDE","","","","","","","","","","L342_OTHPEAD"
"19229000","AD&D Auto Equip & Oth Trans Equip- Reconciliation","AST","","","","","AD&D Auto Equip & Oth Trans Equip- Reconciliation","","","","","","","","","ENDDE","","","","","","","","","","L342_OTHPEAD"
"19229599","ECCS Edit Corrections","AST","","","","","ECCS Edit Corrections","","","","","","","","","ENDDE","","","","","","","","","","L342_OTHPEAD"
"19244000","AD&D Furn, Fix & Office Equip Manual Adj entries","AST","","","","","AD&D Furn, Fix & Office Equip Manual Adj entries","","","","","","","","","ENDDE","","","","","","","","","","L342_OTHPEAD"
"19249000","AD & Depl Furn, Fix & Office Equip- Reconciliation","AST","","","","","AD & Depl Furn, Fix & Office Equip- Reconciliation","","","","","","","","","ENDDE","","","","","","","","","","L342_OTHPEAD"
"19264000","Accum Depr & Depl Info Sys HW Manual Adj entries","AST","","","","","Accum Depr & Depl Info Sys HW Manual Adj entries","","","","","","","","","ENDDE","","","","","","","","","","L342_OTHPEAD"
"19269000","Acc Depr & Depl Info Sys Hardware- Reconciliation","AST","","","","","Acc Depr & Depl Info Sys Hardware- Reconciliation","","","","","","","","","ENDDE","","","","","","","","","","L342_OTHPEAD"
"19269599","ECCS Edit Corrections","AST","","","","","ECCS Edit Corrections","","","","","","","","","ENDDE","","","","","","","","","","L342_OTHPEAD"
"19284000","Acc Dep & Depl Manual Adjusting entries","AST","","","","","Acc Dep & Depl Manual Adjusting entries","","","","","","","","","ENDDE","","","","","","","","","","L282_PATLICAD"
"19289000","Acc Dep & Depl Info Sys Cap SW - Reconciliation","AST","","","","","Acc Dep & Depl Info Sys Cap SW - Reconciliation","","","","","","","","","ENDDE","","","","","","","","","","L282_PATLICAD"
"19304000","Acc Dep & Depl IS Equip Facil Manual Adj entries","AST","","","","","Acc Dep & Depl IS Equip Facil Manual Adj entries","","","","","","","","","ENDDE","","","","","","","","","","L282_PATLICAD"
"19309000","AD&D IS Equip Facil & Util Equip - Reconciliation","AST","","","","","AD&D IS Equip Facil & Util Equip - Reconciliation","","","","","","","","","ENDDE","","","","","","","","","","L282_PATLICAD"
"19324000","AD&D Other Prop & Equip Manual Adj entries","AST","","","","","AD&D Other Prop & Equip Manual Adj entries","","","","","","","","","ENDDE","","","","","","","","","","L342_OTHPEAD"
"19329000","Acc Depr & Depl Oth Prop & Equip - Reconciliation","AST","","","","","Acc Depr & Depl Oth Prop & Equip - Reconciliation","","","","","","","","","ENDDE","","","","","","","","","","L342_OTHPEAD"
"19420000","Amort Cap Interest (FAS 34) - Building & Serv Imp","AST","","","","","Amort Cap Interest (FAS 34) - Building & Serv Imp","","","","","","","","","ENDDE","","","","","","","","","","L322_LANDBLDGAD"
"19424000","Impuesto Diferido No CorrienteManual Adj JE","AST","","","","","Impuesto Diferido No CorrienteManual Adj JE","","","","","","","","","ENDDE","","","","","","","","","","L322_LANDBLDGAD"
"19480000","Amort Cap Interest (FAS 34) - Machinery & Equip","AST","","","","","Amort Cap Interest (FAS 34) - Machinery & Equip","","","","","","","","","ENDDE","","","","","","","","","","L332_MACHAD"
"21120000","Cap Lease Buildings and Service Improvements","AST","","","","","Cap Lease Buildings and Service Improvements","","","","","","","","","ENDDE","","","","","","","","","","L321_LANDBLDGGROSS"
